"depth";"age_korr";"error_plus";"error_minus"
"1";300.000000000006;990.615314431411;1366.63121340331;609.845917774536
"2";600;1709.36954169167;2425.29005852897;1082.71574584987
"3";1300.00000000005;2766.21530611986;3678.73701169376;1882.99628439263
"4";2000.00000000009;3391.88522532437;4416.38309416908;2473.31872215091
"5";2699.99999999992;4002.74465349492;5218.14951324334;2981.03336528479
"6";3399.99999999974;4794.33282986649;6320.94591527106;3512.06634471931
"7";4399.99999999974;6908.76580267243;8996.52974412304;5034.26507669311
"8";5399.99999999974;8277.26055294657;10492.3546371622;6233.47445438635
"9";5699.99999999993;10687.7509748277;13259.9722704433;8370.23436221449
"10";6000.00000000011;11847.338903642;14720.804469748;9336.26922007484
